"id","type","x","y","z","vx","vy","vz","fz","fy","fz","TIMESTEP"
5,1,-0.0282664,0.0024059,-0.0591166,-0.73954,0.055517,0.457798,-0.0821841,0,-0.0821841,27000
6,1,0.000251965,0.00477699,-0.0132048,0,0,-1.4973,-0.0821841,0,-0.0821841,27000
7,1,0.00230449,0.00163712,0.0841955,0,0,-0.496484,-0.0821841,0,-0.0821841,27000
1,1,-0.323493,0.0268156,-0.235947,-1.11841,0.0839586,-1.06045,-0.0821841,0,-0.0821841,28000
2,1,-0.260566,0.0219147,-0.201938,-1.25878,0.0944959,-0.0247237,-0.0821841,0,-0.0821841,28000
3,1,-0.167037,0.0108201,-0.119068,-0.76646,0.0575379,-1.17714,-0.0821841,0,-0.0821841,28000
4,1,-0.0958065,0.00849678,-0.0618274,-0.723603,0.0543206,-0.452545,-0.0821841,0,-0.0821841,28000
5,1,-0.0430572,0.00351624,-0.0519222,-0.73954,0.055517,0.261598,-0.0821841,0,-0.0821841,28000
6,1,0.000251965,0.00477699,-0.0451124,0,0,-1.6935,-0.0821841,0,-0.0821841,28000
7,1,0.00230449,0.00163712,0.0723043,0,0,-0.692684,-0.0821841,0,-0.0821841,28000
1,1,-0.345861,0.0284948,-0.259118,-1.11841,0.0839586,-1.25665,-0.0821841,0,-0.0821841,29000
2,1,-0.285742,0.0238046,-0.204394,-1.25878,0.0944959,-0.220924,-0.0821841,0,-0.0821841,29000
3,1,-0.182366,0.0119709,-0.144572,-0.76646,0.0575379,-1.37334,-0.0821841,0,-0.0821841,29000
4,1,-0.110279,0.00958319,-0.0728398,-0.723603,0.0543206,-0.648745,-0.0821841,0,-0.0821841,29000
6,1,0.000251965,0.00477699,-0.0809439,0,0,-1.8897,-0.0821841,0,-0.0821841,29000
5,1,-0.057848,0.00462658,-0.0486518,-0.73954,0.055517,0.0653976,-0.0821841,0,-0.0821841,29000
7,1,0.00230449,0.00163712,0.0564891,0,0,-0.888884,-0.0821841,0,-0.0821841,29000
1,1,-0.368475,0.0301923,-0.285017,-1.40954,0.105814,-0.228947,2.63856,0.082848,2.63856,30000
2,1,-0.310917,0.0256945,-0.210774,-1.25878,0.0944959,-0.417124,-0.0821841,0,-0.0821841,30000
